Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
1,1,D1N4148,,,D2,,,1316,
2,1,BZX84-C10,,,D4,,,1303,
3,1,CON2,,,J1,,,1396,
4,1,CON2,,,J2,,,1255,
5,1,"5V,LED,LED",,,LED1,,,1273,
6,1,"5V,LED,LED",,,LED2,,,1322,
7,1,5k,,,P1,,,1332,
8,1,10k,,,P2,,,1306,
9,1,QMJD31C,,,Q1,,,1276,
10,1,QBC846B,,,Q2,,,1280,
11,1,QBC856B,,,Q3,,,1235,
12,1,QBC856B,,,Q4,,,1328,
13,1,QBC856B,,,Q5,,,1349,
14,1,QBC846B,,,Q6,,,1293,
15,1,QBC846B,,,Q7,,,1374,
16,1,QBC846B,,,Q8,,,1339,
17,1,QBC846B,,,Q9,,,1245,
18,1,0.47,,,R1,,,1232,
19,1,1,,,R2,,,1258,
20,1,100,,,R3,,,1336,
21,1,100,,,R4,,,1365,
22,1,820,,,R5,,,1368,
23,1,3.9k,,,R6,,,1284,
24,1,3.3k,,,R7,,,1346,
25,1,820,,,R8,,,1387,
26,1,4.7k,,,R9,,,1249,
27,1,680,,,R10,,,1287,
28,1,820,,,R11,,,1359,
29,1,1k,,,R12,,,1270,
30,1,1k,,,R13,,,1310,
31,1,820,,,R14,,,1261,
32,1,820,,,R15,,,1297,
33,1,680,,,R16,,,1313,
34,1,680,,,R17,,,1325,
35,1,47k,,,R18,,,1353,
36,1,10k,,,R19,,,1239,
37,1,220,,,R20,,,1319,
38,1,820,,,R21,,,1300,
39,1,2.2k,,,R22,,,1264,
40,1,680,,,R23,,,1371,
41,1,680,,,R24,,,1384,
42,1,2.2k,,,R25,,,1242,
43,1,4.7k,,,R26,,,1378,
44,1,820,,,R27,,,1267,
45,1,1k,,,R28,,,1252,
46,1,2.2k,,,R29,,,1290,
47,1,820,,,R30,,,1381,
48,1,2.7k,,,R31,,,1390,
49,1,1.5k,,,R32,,,1343,
50,1,1.5k,,,R33,,,1356,
51,1,1.5k,,,R34,,,1362,
52,1,820,,,R35,,,1393,
